Category Name,Category Bid No,Doc ID
"Altair Hyperworks Annual Licenses (1st year) as per Technical specifications:,Altair Hyperworks Ann",—,9734513
Polyethylene Pipes for Water Supply conforming to IS 4984,—,9708145
Repair of electronic items,—,9748971
Shredding Machine/Paper Shredder,—,9613978
"Lignocaine Hcl 2 pcnt wit out Adrenaline 30 ml Inj suitabl opth use,Lignocaine Hcl 2percent with Ad",—,9688341
GCU IVER 12,—,9749092
"Entry and Mid Level Desktop Computer,Line Interactive UPS with AVR (V2)",—,9742505
"ELECTRODES WELDING STEEL MILD GENERAL P,MS SHEET,AVR,SOLDER SOFT GRADED D,STEEL BAR ALLOY HOT ROLLE",—,9747703
3D PRINTER WITH FILAMENT,—,9748685
"Arm Electric Stacker 500 Kg,Cushioned Office Chair - Red",—,9748638
"Graduation Disc Mtg Bolt,Gasket,packing Ring,Ring Packing,Bevel Gear Box Seal,Hose High Pressure Li",—,9748773
"Trophy Stand,Office In/Out Tray,Air Purifier Machine,Wooden Rack",—,9748757
"Tool Kit CVD-482EG04023 JUMP START CABLE,Tool Kit CVD-127341150160 SET OF WRENCHES 14 ITEMS,LV1 R90",—,9748755
"Tool Kit F-4735500 RING SPANNER 10x11 METRIC,Tool Kit CVD-F4735500 Ring Spanner 10x11MM,Tool Kit CV",—,9748794
"Insulation Tape,Rope nylon,Repair kit,Sand Bag,6 Amp Modular Switch,6 Amp Socket,16 Amp modular swi",—,9748779
"Waterproof tape,16 TB Hard Disk Drive,Wired speaker for PC,CAT 6 cable Armoured heavy duty,SDHC Car",—,9748770
"Promotional Banner and Flex,Pahphlet,Tea and Refreshment,Water Bottle 500ml,Gift Memento,Rent for o",—,9601656
"Copper Washer 14mm,Copper Washer 17mm,Copper Washer 19mm,Copper Washer 22mm,Copper Washer 24mm,Copp",—,9748808
"Antiwear Hydraulic Oil, Extra Heavy Duty Type (V3) Conforming to IS 11656",—,9749218
FLEX UNIVERSAL CONNECTOR,—,9749183
REPAIRING OF SEWING MACHINE,—,9700167
Entry and Mid Level Desktop Computer,—,9747060
"OUTREACH PLUS ETHERNET AND POE EXTENDER,OUTSOURCE PLUS MIDSPAN POE INJECTOR",—,9749322
"BULB 1000W 240V AC,LAMP 200W 6.6A",—,9749220
"80 NB 150 Class Spring Loaded Swing Check Valve,Set of spares 80 mm 150 Class Spring Loaded Swing C",—,9435392
Pharmacokinetic Data Analysis Software,—,9688739
Unitary Air Conditioner (Window AC) (V3) ISI Marked to IS 1391 (Part 1),—,9609678
MODEL OF AIRCRAFT,—,9701150
"Data Acquisition raeder,USB cable for GC - 02,Location tags (Qty -25),PC acer m 200= I 512 th 8 gb",—,9620226
Reciprocating Air Compressors - Electric Motor Driven,—,9705164
COVER AIRCRAFT GROUND SERVICING,—,9731537
MAIN L/G WHEEL COVER,—,9731514
NOSE CONE PROTECTOR,—,9731505
"Liquid Chlorine, Technical conforming to IS 646",—,9512962
"LV7 STLN F-00D11413 Fuel shut off solenoid,LV7 STLN P-1301752 Rotor,LV7 STLN X-8000600 Combination",—,9736164
"Island table for chemistry lab of size 5200mmL x 1500mmW x 900mmH,Island table for chemistry lab of",—,9738481
"HBA1C 60 Tst Pack,Vitamin D,Mispai3,Mispa i3 probe,ABX Mini,ABX Mini Lyse,ABX Mini,ABX Minoclar",—,9732358
"PERSONAL MOBILE PHONE (MII),PERSONAL MOBILE PHONE (MII)",—,9557769
